龍泉編碼	高麗編碼	實體經名	卷序号	實際卷數	卷序号	起始册碼	終止冊碼	備註	
LQ0246	GL0001	大般若波羅蜜多經	600	600	600	1	8		
LQ0247	GL0002	放光般若波羅密經	20	20	20	8	8		
LQ0249	GL0003	摩訶般若波羅密經	27	27	27	9	9		
LQ0248	GL0004	光贊經	10	10	10	9	9		
LQ0252	GL0005	摩訶般若鈔經	5	5	5	9	9		
LQ0250	GL0006	道行般若波羅密經	10	10	10	9	9		
LQ0253	GL0007	小品般若波羅密經	10	10	10	9	9		
LQ0256	GL0008	勝天王般若波羅密經	7	7	7	9	9		
LQ0251	GL0009	大明度經	6	6	6	10	10		
LQ0257	GL0010	文殊師利所說摩訶般若波羅密經	2	2	2	10	10		
LQ0258	GL0011	文殊師利所說般若波羅密經	1	1	1	10	10		
LQ0259	GL0012	佛說濡首菩薩無上清淨分衛經	2	2	2	10	10		
LQ0260	GL0013	金剛般若波羅密經	1	1	1	10	10	姚秦鳩摩羅什譯	
LQ0261	GL0014	金剛般若波羅密經	1	1	1	10	10	元魏菩提流支譯	
LQ0262	GL0015	金剛般若波羅密經	1	1	1	10	10	陳真諦譯	
LQ0264	GL0016	能斷金剛般若波羅多密經	1	1	1	10	10		
LQ0265	GL0017	佛說能斷金剛般若波羅多密經	1	1	1	10	10		
LQ0266	GL0018	實相般若波羅蜜經	1	1	1	10	10		
LQ0271	GL0019	佛說仁王般若波羅蜜經	2	2	2	10	10		
LQ0277	GL0020	般若波羅密多心經	1	1	1	10	10	唐玄奘譯	
LQ0278	GL0021	摩訶般若波羅密大明咒經	1	1	1	10	10		
LQ0342	GL0022	大寶積經	120	120	120	10	11		
LQ0343	GL0023	大方廣三戒经	3	3	3	11	11		
LQ0391	GL0024	佛說無量清淨平等覺經	4	4	4	11	11		
LQ	GL0025	佛說阿弥陀三耶三佛薩楼佛檀過度人道經	1	1	1	11	11	469頁插入了《大方等大集经》（仅一页）	
LQ0390	GL0027	佛說無量壽經	2	2	2	11	11		
LQ0345	GL0028	阿閦佛國經	2	2	2	11	11		
LQ0346	GL0029	佛說大乘十法經	1	1	1	11	11		
LQ0347	GL0030	佛說普門品經	1	1	1	11	11		
LQ0349	GL0031	佛說胞胎經	1	1	1	11	11		
LQ0350	GL0032	文殊師利佛土嚴凈經	2	2	2	11	11		
LQ0355	GL0033	法鏡經	1	1	1	11	11		
LQ0354	GL0034	郁迦羅越问菩薩行經	1	1	1	11	11		
LQ0356	GL0035	佛說幻士仁賢經	1	1	1	11	11		
LQ0357	GL0036	佛說決定毗尼經	1	1	1	11	11		
LQ	GL0037	須摩提經	1	1	1	11	11		
LQ0359	GL0038	發覺淨心經	2	2	2	11	11		
LQ0364	GL0039	佛說優填王經	1	1	1	11	11		
