龍泉編碼	實體經名	洪武南藏編碼	卷序号	实际卷数	起始冊碼	终止冊碼	備註
LQ0246	大般若波羅蜜多經	HUNZ0001	600	600	1	22	
LQ0247	放光般若波羅蜜經	HUNZ0002	30	30	22	23	
LQ0249	摩訶般若波羅蜜經	HUNZ0003	30	30	24	24	
LQ0248	光讃般若波羅蜜經	HUNZ0004	10	10	24	24	
LQ0252	摩訶般若波羅蜜鈔經	HUNZ0005	5	5	25	25	
LQ0250	道行般若波羅蜜經	HUNZ0006	10	10	25	25	
LQ0253	小品般若波羅蜜經	HUNZ0007	10	10	25	25	
LQ0256	勝天王般若波羅蜜經	HUNZ0008	7	7	25	25	
LQ0251	大明度無極經	HUNZ0009	6	6	25	26	
LQ0259	佛說濡首菩薩無上清淨分衛經	HUNZ0010	2	2	26	26	
LQ0261	金剛般若波羅蜜經(元魏留支譯）	HUNZ0011	1	1	26	26	
LQ0262	金剛般若波羅蜜經（陳真諦譯）	HUNZ0012	1	1	26	26	
LQ0263	金剛能斷般若波羅蜜經（隋笈多譯）	HUNZ0013	1	1	26	26	
LQ0265	能斷金剛般若波羅蜜多經（唐義凈譯）	HUNZ0014	1	1	26	26	
LQ0264	能斷金剛般若波羅蜜多經（唐玄奘譯）	HUNZ0015	2	2	26	26	
LQ0266	實相般若波羅蜜經	HUNZ0016	1	1	26	26	
LQ0271	仁王護國般若波羅蜜經（鸠摩罗什）	HUNZ0017	2	2	26	26	
LQ0258	文殊師利所說般若波羅蜜經	HUNZ0018	1	1	26	26	
LQ0342	大寶積經	HUNZ0019	120	120	26	30	
LQ0343	大方廣三戒經	HUNZ0020	3	3	30	30	
LQ0391	佛说無量清淨平等覺經	HUNZ0021	2	2	31	31	
LQ0392	佛说阿彌陀經	HUNZ0022	2	2	31	31	
LQ0390	佛说無量壽經	HUNZ0023	2	2	31	31	
LQ0345	佛說阿閦佛國經	HUNZ0024	2	2	31	31	
LQ0346	佛說大乘十法經	HUNZ0025	1	1	31	31	
LQ0347	佛說普門品經	HUNZ0026	1	1	31	31	
LQ0349	佛說胞胎經	HUNZ0027	1	1	31	31	
LQ0350	文殊師利佛土嚴淨經	HUNZ0028	2	2	31	31	
LQ0355	法鏡經	HUNZ0029	1	1	31	31	
LQ0354	郁迦羅越問菩薩行經	HUNZ0030	1	1	31	31	
LQ0356	幻士仁賢經	HUNZ0031	1	1	31	31	
LQ0357	佛说決定毘尼經	HUNZ0032	1	1	31	31	
LQ0359	發覺淨心經	HUNZ0033	2	2	31	31	
LQ0364	佛說優填王經	HUNZ0034	1	1	31	31	
	佛說須摩提經	HUNZ0035	1	1	31	31	
LQ0366	佛說須摩提菩薩經	HUNZ0036	1	1	31	31	
LQ0368	佛說離垢施女經	HUNZ0037	1	1	31	31	
LQ0367	佛说阿闍世王女阿述達菩薩經	HUNZ0038	1	1	31	31	
LQ0369	得無垢女經	HUNZ0039	1	1	31	31	
LQ0370	文殊師利所說不思議佛境界經	HUNZ0040	2	2	31	31	
LQ0372	佛說如幻三昧經	HUNZ0041	3	3	31	32	
LQ0371	善住意天子所問經	HUNZ0042	3	3	32	32	
LQ0373	太子刷護經	HUNZ0043	1	1	32	32	
LQ0374	太子和休經	HUNZ0044	1	1	32	32	
LQ0375	慧上菩薩問大善權經	HUNZ0045	2	2	32	32	
LQ0377	大乘顯識經	HUNZ0046	2	2	32	32	
LQ0378	佛說大乘方等要慧經	HUNZ0047	1	1	32	32	
LQ0379	彌勒菩薩所問本願經	HUNZ0048	1	1	32	32	
LQ0380	佛遺日摩尼寶經	HUNZ0049	1	1	32	32	
LQ0381	佛說摩訶衍寶嚴經	HUNZ0050	1	1	32	32	
LQ0383	勝鬘師子吼一乘大方便方廣經	HUNZ0051	1	1	32	32	
LQ0384	毗耶娑問經	HUNZ0052	2	2	32	32	
LQ0433	大方等大集經	HUNZ0053	30	30	32	33	
LQ0434	大乘大方等日藏經	HUNZ0054	10	10	33	34	
LQ0435	大方等大集月藏經	HUNZ0055	10	10	34	34	
LQ0451	大乘大集地藏十輪經	HUNZ0056	10	10	34	35	
LQ0452	大方廣十輪經	HUNZ0057	8	8	35	35	
LQ0436	大集須彌藏經	HUNZ0058	2	2	35	35	
LQ0449	虛空孕菩薩經	HUNZ0059	2	2	35	35	
LQ0446	虛空藏菩薩經	HUNZ0060	1	1	35	35	
LQ0447	虛空藏菩薩神咒經	HUNZ0061	1	1	35	35	
LQ0450	觀虛空藏菩薩經	HUNZ0062	1	1	35	35	
LQ0455	佛說菩薩念佛三昧經	HUNZ0063	6	6	35	35	
LQ0456	佛說大方等大集菩薩念佛三昧經	HUNZ0064	10	10	36	36	
LQ0458	般舟三昧經	HUNZ0065	3	3	36	36	
LQ0460	拔陂菩萨经	HUNZ0066	1	1	36	36	
LQ0457	大方等大集賢護經	HUNZ0067	5	5	36	36	
LQ0438	阿差末菩薩經	HUNZ0068	7	7	36	36	
LQ0437	無盡意菩薩經	HUNZ0069	4	4	36	36	
LQ0463	大集譬喻王經	HUNZ0070	2	2	36	36	
LQ0440	大哀經	HUNZ0071	8	8	36	37	
LQ0441	寶女所問經	HUNZ0072	4	4	37	37	
LQ0443	無言童子經	HUNZ0073	2	2	37	37	
LQ0461	自在王菩薩經	HUNZ0074	2	2	37	37	
LQ0462	奮迅王問經	HUNZ0075	2	2	37	37	
LQ0445	寶星陀羅尼經	HUNZ0076	8	8	37	37	
LQ0310	大方廣佛華嚴經	HUNZ0077	60	60	37	40	
LQ0337	信力入印法門經	HUNZ0078	5	5	40	40	
LQ0335	度諸佛境界智光嚴經	HUNZ0079	1	1	40	40	
LQ0336	佛華嚴入如來德智不思議境界經	HUNZ0080	1	1	40	40	
LQ0461	大方廣入如來智德不思議經	HUNZ0081	1	1	40	40	
LQ0338	大方廣佛華嚴經修慈分	HUNZ0082	1	1	40	40	
LQ0332	大方廣如來不思議境界經	HUNZ0083	1	1	40	40	
LQ0333	大方廣佛華嚴經不思議佛境界分	HUNZ0084	1	1	40	40	
LQ1163	大乘金剛髻珠菩薩修行分經	HUNZ0085	1	1	40	40	
LQ0330	大方廣普賢所說經	HUNZ0086	1	1	40	40	
LQ0339	莊嚴菩提心經	HUNZ0087	1	1	40	40	
LQ0312	佛說菩薩本業經	HUNZ0088	1	1	40	40	
LQ0313	諸菩薩求佛本業經	HUNZ0089	1	1	40	40	
LQ0314	菩薩十住行道品經	HUNZ0090	1	1	40	40	
LQ0315	佛說菩薩十住經	HUNZ0091	1	1	40	40	
LQ0316	漸備一切智德經	HUNZ0092	5	5	40	40	
LQ0317	十住經	HUNZ0093	6	6	41	41	
LQ0320	顯無邊佛土功德經	HUNZ0094	1	1	41	41	
LQ0319	等目菩薩所問三昧經	HUNZ0095	3	3	41	41	
LQ0322	佛說如來興顯經	HUNZ0096	4	4	41	41	
LQ0323	度世品經	HUNZ0097	6	6	41	41	
LQ0326	羅摩伽經	HUNZ0098	4	4	41	41	
LQ0409	大般涅盤經	HUNZ0099	40	40	41	43	
LQ0412	大般涅盤經後分	HUNZ0100	2	2	43	43	
LQ0411	大般泥洹經	HUNZ0101	6	6	43	43	
LQ0413	佛说方等般泥洹經	HUNZ0102	2	2	43	43	
LQ0414	四童子三昧經	HUNZ0103	3	3	43	43	
LQ0415	大悲經	HUNZ0104	5	5	43	44	
LQ0244	方廣大莊嚴經	HUNZ0105	12	12	44	44	
LQ0245	普曜經	HUNZ0106	8	8	44	44	
	佛说無量意經	HUNZ0107	1	1	44	44	
LQ0293	正法華經	HUNZ0108	10	10	44	45	
LQ0647	說無垢稱經	HUNZ0109	6	6	45	45	
LQ0649	大方等頂王經	HUNZ0110	1	1	45	45	
LQ0650	大乘頂王經	HUNZ0111	1	1	45	45	
LQ0648	善思童子經	HUNZ0112	2	2	45	45	
LQ0218	大乘大悲分陀利經	HUNZ0113	8	8	45	45	
LQ0217	悲華經	HUNZ0114	10	10	46	46	
LQ0757	金光明最勝王經	HUNZ0115	10	10	46	46	
LQ0759	合部金光明經	HUNZ0116	8	8	46	46	
LQ0725	大樹緊那羅王所問經	HUNZ0117	4	4	47	47	
LQ0833	佛升忉利天為母說法經	HUNZ0118	3	3	47	47	
LQ0834	道神足無極變化經	HUNZ0119	4	4	47	47	
LQ0659	佛說寶雨經	HUNZ0120	10	10	47	47	
LQ0660	寶雲經	HUNZ0121	7	7	47	47	
LQ0299	阿惟越致遮經	HUNZ0122	4	4	47	47	
LQ0298	不退轉法輪經	HUNZ0123	4	4	47	48	
LQ0297	廣博嚴淨不退轉法輪經	HUNZ0124	4	4	48	48	
LQ0745	入定不定印經	HUNZ0125	1	1	48	48	
LQ0746	不必定入定入印經	HUNZ0126	1	1	48	48	
LQ0417	等集眾德三昧經	HUNZ0127	3	3	48	48	
LQ0416	集一切福德三昧經	HUNZ0128	3	3	48	48	
LQ0709	持心梵天所問經	HUNZ0129	4	4	48	48	
LQ0708	思益梵天所問經	HUNZ0130	4	4	48	48	
LQ0710	勝思維梵天所問經	HUNZ0131	6	6	49	49	
LQ0653	持人菩萨所问經	HUNZ0132	4	4	49	49	
LQ0652	持世經	HUNZ0133	4	4	49	49	
LQ0306	濟諸方等學經	HUNZ0134	1	1	49	49	
