龙泉编码	高丽初刻编码	實體經名	卷序號	实际卷数	起始冊碼	起始頁碼	終止頁碼	終止冊碼	備註		
LQ0246	GLCK0001	大般若波羅蜜多經	481	4	1	65	86	1			
LQ0249	GLCK0002	摩訶般若波羅蜜經	24	12	1	465	501	1			
LQ0248	GLCK0003	光讃經	6	3	1	544	580	1			
LQ0250	GLCK0004	道行般若經	4	1	1	581	597	1			
LQ0256	GLCK0005	勝天王般若波羅蜜經	6	6	2	138	157	2			
LQ0259	GLCK0006	佛說濡首菩薩無上淸淨分衞經	2	2	2	179	192	2			
LQ0260	GLCK0007	金剛般若波羅蜜經	1	1	2	193	214	2			
LQ0262	GLCK0008	金剛般若波羅蜜經	1	1	2	215	235	2			
LQ0264	GLCK0009	能斷金剛般若波羅蜜多經	1	1	2	236	262	2	卷首殘		
LQ0271	GLCK0010	佛說仁王般若波羅蜜經	2	2	2	284	301	2			
LQ0342	GLCK0011	大寶積經	119	13	2	607	633	2	卷首殘,經名卷次據卷尾		
LQ0391	GLCK0012	佛說無量淸淨平等覺經	4	4	3	71	90	3			
LQ0433	GLCK0013	大方等大集經	56	38	3	352	389	4			
LQ0452	GLCK0014	大方廣十輪經	7	6	4	488	507	4			
#N/A	GLCK0015	大乘大集經	1	1	4	508	536	4			
LQ0446	GLCK0016	虛空藏菩薩經	1	1	4	537	575	4			
LQ0447	GLCK0017	虛空藏菩薩神呪經	1	1	4	576	599	4			
LQ0450	GLCK0018	觀虛空藏菩薩經	1	1	4	600	614	4			
LQ0458	GLCK0019	般舟三昧經	1	1	5	1	22	5	卷上，卷首丟失，p1殘缺,第2、3、7字跡不清		
LQ0440	GLCK0020	大哀經	5	1	5	23	41	5			
LQ0445	GLCK0021	寶星陀羅尼經	10	10	5	216	229	5			
LQ0310	GLCK0022	大方廣佛華嚴經	13	8	5	479	502	5	新譯	存疑	
LQ0309	GLCK0023	大方廣佛華嚴經	79	16	6	199	218	6	新譯		
LQ0337	GLCK0024	信力入印法門經	5	5	6	356	383	6			
LQ0336	GLCK0025	佛華嚴入如來德智不思議境界經	2	2	6	398	414	6	卷首尾經名不一致		
LQ1163	GLCK0026	大乘金剛髻珠菩薩修行分	1	1	6	415	439	6			
LQ0338	GLCK0027	大方廣佛華嚴經修慈分	1	1	6	440	449	6			
LQ0335	GLCK0028	度諸佛境界智光嚴經	1	1	6	450	474	6			
LQ0334	GLCK0029	大方廣如來智德不思議經	1	1	6	475	494	6			
LQ0332	GLCK0030	大方廣如來不思議境界經	1	1	6	495	510	6			
LQ0333	GLCK0031	大方廣佛華嚴經不思議佛境界分	1	1	6	511	527	6			
LQ0311	GLCK0032	佛說兜沙經	1	1	6	528	535	6			
LQ0340	GLCK0033	佛說大方廣菩薩十地經	1	1	6	536	546	6			
LQ0319	GLCK0034	佛說等目菩薩經	3	2	6	570	600	6	卷首尾經名不一致，無卷上。		
LQ0326	GLCK0035	佛說羅摩伽經	3	3	7	71	105	7			
LQ0323	GLCK0036	度世品經	6	6	7	253	282	7			
LQ0327	GLCK0037	大方廣佛華嚴經入法界品	1	1	7	283	294	7			
LQ0007	GLCK0038	大般涅槃經	38	3	7	342	361	7			
LQ0411	GLCK0039	佛說大般泥洹經	5	3	7	432	466	7			
LQ0412	GLCK0040	大般涅槃經后分	2	2	7	498	521	7			
LQ0413	GLCK0041	佛說方等般泥洹經	2	2	7	557	587	7			
LQ0414	GLCK0042	四童子三昧經	3	3	7	632	652	7			
LQ0415	GLCK0043	大悲經	5	5	8	103	125	8			
LQ0244	GLCK0044	大方廣莊嚴經	12	12	8	434	457	8			
LQ0245	GLCK0045	佛說普曜經	8	4		530	550				
