龙泉编码	契丹编码	实体经名	卷序号	实际卷数	起始册码	起始页码	终止页码	终止册码	備註
LQ0309	QD0001	大方廣佛華嚴經	51		1	30	30	1	
LQ0292	QD0002	妙法蓮華經	2		1	31	35	1	
LQ0855	QD0003	積讃大乘功德經	1		1	36	39	1	
LQ1387	QD0004	大法炬陀羅尼經	13		1	39	47	1	
LQ0216	QD0005	大方便佛報恩經	1		1	47	52	1	48頁經文不全
LQ0028	QD0006	中阿含經	36		1	52	63	1	
LQ0112	QD0007	阿毗達磨發智論	13		1	64	74	1	
LQ0954	QD0008	佛說大乘聖無量壽決定光明王如來陀羅尼經	1		1	74	77	1	75-80頁經文不全
LQ3904	QD0009	一切佛菩薩名集	6		1	77	79	1	
LQ0293	QD0010	妙法蓮華經	8		1	174	183	1	181-182頁經文不全
LQ0216	QD0011	大方便佛報恩經	8		1	193	193	1	193頁經文不全
LQ1004	QD0012	佛母大金曜孔雀明王經	1		1	194	195	1	卷上
LQ0513	QD0013	佛說八師經	1		1	195	197	1	195-198頁經文不全
LQ4814-2	QD0014	佛說觀世音經	1		1	198	199	1	
LQ4814-1	QD0015	高王觀世音經	1		1	200	200	1	
LQ3904	QD0016	佛名集	1		1	201	203	1	
LQ1998	QD0017	大方廣佛花嚴經疏	4		1	204	223	1	卷下
LQ1999-1	QD0018	大方廣佛花嚴經隨疏演義鈔	5		1	273	281	1	卷上
	QD0019	上生經預疏文	1		1	282	288	1	
LQ2540	QD0020	釋摩訶衍論通贊疏	10		1	289	306	1	289-290頁經文不全
	QD0021	釋摩訶衍論通贊疏科	1		1	307	312	1	307頁經文不全
LQ2452-2	QD0022	成唯識議論述記應新抄科文	3		1	313	331	1	313，323-327頁經文不全
	QD0023	法華經玄贊會古通今新抄	6		1	356	274	1	356頁經文不全
LQ2097	QD0024	涅槃義記	8		1	275	412	1	
	QD0025	八師經報應記	1		1	413	413	1	
LQ1654	QD0026	成唯識論	1		1	414	421	1	
LQ0954	QD0027	佛說大乘聖無量壽決定光明王如來陀羅尼經	1		1	422	423	1	
	QD0028	勸懺悔文、略是戒相儀、毗奈耶藏近事優婆塞五戒本	1		1	424	430	1	424-425頁經文不全
	QD0029	大方廣佛花嚴經隨疏演義鈔玄鏡記	3		1	431	432	1	
	QD0030	大方廣佛花嚴經十迴向品疏	1		1	433	442	1	
LQ1847	QD0031	仁王護國般若波羅蜜多經科文	1		1	443	444	1	
	QD0032	科文殘卷	1		1	445	446	1	
LQ4828	QD0033	佛說延壽經	1		1	446	446	1	
	QD0034	蒙求	1		1	447	450	1	
	QD0035	新雕諸親讃壹策	1		1	451	451	1	
	QD0036	玉泉寺菩薩戒壇所牒	1		1	452	454	1	
	QD0037	菩薩戒壇所牒	1		1	455	455	1	
	QD0038	卜筮書殘葉	1		1	456	456	1	
	QD0039	佛頂心觀世音菩薩大陀羅尼經	1		1	457	462	1	455，460，476,477頁經文不全
	QD0040	梵綱經手記	1		1	463	475	1	
	QD0041	法華經手記	7		1	476	489	1	
	QD0042	發菩提心戒本、大乘八關齋戒儀、菩薩十無書儀	11、12		1	490	495	1	492-495頁經文不全
	QD0043	十戒戒本	1		1	496	496	1	
	QD0044	受戒發願文	1		1	497	497	1	
LQ1999-1	QD0045	大方廣佛花嚴經隨疏演義鈔	1		1	498	506	1	並序
	QD0046	隨疏演義鈔經題撰人釋疏	1		1	507	509	1	
	QD0047	佛本生經變相目錄	1		1	510	511	1	510-511頁經文不全
	QD0048	經疏抄記	1		1	512	515	1	
	QD0049	應州當寺沙門祈福愿文	1		1	516	520	1	
	QD0050	圓教四門問答	1		1	520	521	1	521頁經文不全
	QD0051	大方廣佛花嚴經疏序、勸善文	1		1	522	540	1	
	QD0052	法華經筆記	1		1	541	543	1	
	QD0053	天親菩薩造第一論	1		1	544	545	1	
LQ4741	QD0054	雜抄	1		1	545	549	1	
	QD0055	僧光章為賣常住什畜狀	1		1	549	549	1	
	QD0056	五言詩偈殘卷	1		1	550	550	1	
