龍泉編碼	乾隆藏編碼	实体经名	卷数	實際卷數	起始册码	终止册码	备注	特殊问题备注		
LQ0246	QL0001	大般若波羅蜜多經	600	600	1	14				
LQ0247	QL0002	放光般若波羅蜜經	30		14	14				
LQ0249	QL0003	摩訶般若波羅蜜經	30		14	15				
LQ0248	QL0004	光讚般若波羅蜜經	10		15	15				
LQ0250	QL0005	道行般若波羅蜜經	10		15	15				
LQ0253	QL0006	小品般若波羅蜜經	10		16	16				
LQ0252	QL0007	摩訶般若波羅蜜鈔經	5		16	16				
LQ0251	QL0008	大明度無極經	6		16	16				
LQ0256	QL0009	勝天王般若波羅蜜經	7		16	16				
LQ0260	QL0010	金剛般若波羅蜜經	1		16	16	姚秦三藏法師鳩摩羅什譯			
LQ0261	QL0011	金剛般若波羅蜜經	1		16	16	元魏三藏留支譯			
LQ0262	QL0012	金剛般若波羅蜜經	1		16	16	陳天竺三藏法師真諦譯			
LQ0264	QL0013	能斷金剛般若波羅蜜經	1		16	16	唐三藏法師玄奘奉詔譯			
LQ0265	QL0014	能斷金剛般若波羅蜜經	1		16	16	唐三藏法師義淨奉制譯			
LQ0263	QL0015	金剛能斷般若波羅蜜多經	1		16	16				
LQ0259	QL0016	佛說濡首菩薩無上清淨分衛經	2		16	16				
LQ0272	QL0017	仁王護國般若波羅蜜經	2		16	16				
LQ0266	QL0018	實相般若波羅蜜經	1		16	16				
LQ0278	QL0019	摩訶般若波羅蜜大明咒經	1		16	16				
LQ0277	QL0020	般若波羅蜜多心經	1		16	16		唐三藏法师玄奘		
LQ0257	QL0021	文殊師利所說摩訶般若波羅蜜經	1		16	16				
LQ0258	QL0022	文殊師利所說般若波羅蜜經	1		16	16				
LQ0342	QL0023	大寶積經	120		17	19				
LQ0343	QL0024	大方廣三戒經	3		19	19				
LQ0391	QL0025	佛說無量清淨平等覺經	3		19	19				
LQ2075	QL0026	佛說阿彌陀經	2		19	19		吴月氏优婆塞 支谦译		
LQ0390	QL0027	佛說無量壽經	2		19	19				
LQ0345	QL0028	佛說阿閦佛國經	3		20	20				
LQ0346	QL0029	佛說大乘十法經	1		20	20				
LQ0347	QL0030	佛說普門品經	1		20	20				
LQ0350	QL0031	文殊師利佛土嚴淨經	2		20	20				
LQ0349	QL0032	佛說胞胎經	1		20	20				
LQ0355	QL0033	佛說法鏡經	2		20	20				
LQ0354	QL0034	郁迦羅越問菩薩行經	1		20	20				
LQ0356	QL0035	幻士仁賢經	1		20	20				
LQ0357	QL0036	佛說決定毗尼經	1		20	20				
LQ0359	QL0037	發覺淨心經	2		20	20				
LQ0364	QL0038	佛說優塡王經	1		20	20				
LQ0366	QL0039	佛說須摩提經	1		20	20		西晉三藏竺法護譯		
LQ	QL0040	佛說須摩提菩薩經	1		20	20		存疑，PDF查詢，姚秦三藏法師鳩摩羅什譯；藏經對堪表中0366；譯者為西晉竺法護譯		
LQ0368	QL0041	佛說離垢施女經	1		20	20				
LQ0367	QL0042	佛說阿闍世王女阿術達菩薩經	1		20	20				
LQ0360	QL0043	佛說須賴經	1		20	20	曹魏西域沙門白延於洛陽白馬寺譯			
LQ0361	QL0044	佛說須賴經	1		20	20	前涼月支國優婆塞支施崳譯			
LQ0369	QL0045	得無垢女經	1		20	20				
LQ0370	QL0046	文殊師利所說不思議佛境界經	2		20	20				
LQ0372	QL0047	佛說如幻三昧經	3		20	20				
LQ0371	QL0048	善住意天子所問經	3		20	20				
LQ0373	QL0049	太子刷護經	1		20	20				
LQ0374	QL0050	太子和休經	1		20	20				
LQ0385	QL0051	入法界體性經	1		20	20				
LQ0375	QL0052	慧上菩薩問大善權經	2		20	20				
LQ0377	QL0053	大乘顯識經	2		20	20				
LQ0378	QL0054	佛說大乘方等要慧經	1		20	20				
LQ0379	QL0055	彌勒菩薩所問本願經	1		20	20				
LQ0389	QL0056	度一切諸佛境界智嚴經	1		20	20				
LQ0380	QL0057	佛遺日摩尼寶經	1		20	20				
LQ0381	QL0058	佛說摩訶衍寶嚴經	1		20	20				
LQ0383	QL0059	勝鬘師子吼一乘大方便方廣經	1		20	20				
LQ0384	QL0060	毘耶娑問經	2		20	20				
LQ0433	QL0061	大方等大集經	30		21	21		北涼天竺三藏 曇無讖譯		
LQ0434	QL0062	大乘大方等日藏經	10		21	21				
LQ0435	QL0063	大方等大集月藏經	10		22	22				
LQ0451	QL0064	大乘大集地藏十輪經	10		22	22				
LQ0452	QL0065	佛說大方廣十輪經	8		22	22				
LQ0436	QL0066	大集須彌藏經	2		22	22				
LQ0449	QL0067	虛空孕菩薩經	2		22	22				
LQ0446	QL0068	虛空藏菩薩經	1		22	22				
LQ0447	QL0069	虛空藏菩薩神咒經	1		22	22				
LQ0450	QL0070	觀虛空藏菩薩經	1		22	22				
LQ0455	QL0071	佛說菩薩念佛三昧經	6		22	22				
LQ0456	QL0072	佛說大方等大集菩薩念佛三昧經	10		22	22				
LQ0458	QL0073	般舟三昧經	3		23	23				
LQ0438	QL0074	阿差末菩薩經	7		23	23				
LQ0457	QL0075	大方等大集賢護經	5		23	23				
LQ0460	QL0076	拔陂菩薩經	1		23	23				
LQ0437	QL0077	無盡意菩薩經	4		23	23				
LQ0463	QL0078	大集譬喻王經	2		23	23				
LQ0440	QL0079	大哀經	8		23	23				
LQ0441	QL0080	寳女所問經	4		23	23				
LQ0443	QL0081	無言童子經	2		23	23				
LQ0461	QL0082	自在王菩薩經	2		23	23				
LQ0462	QL0083	奮迅王問經	2		23	23				
LQ0445	QL0084	寳星陀羅尼經	8		23	23				
LQ0389	QL0085	度諸佛境界智光嚴經	1		23	23				
LQ1163	QL0086	大乘金剛髻珠菩薩修行分經	1		23	23				
LQ0310	QL0087	大方廣佛華嚴經	60		24	25	東晉天竺三藏佛陀跋陀羅等譯			
LQ0309	QL0088	大方廣佛華嚴經	80		25	27	唐于闐國三藏沙門實叉難陀譯			
LQ4821	QL0089	大方廣佛華嚴經普賢菩薩行願品	40		27	27				
LQ0337	QL0090	信力入印法門經	5		27	27				
LQ0036	QL0091	佛華嚴入如來德智不思議境界經	1		28	28				
LQ0322	QL0092	佛說如來興顯經	4		28	28				
LQ0334	QL0093	大方廣入如來智德不思議經	1		28	28				
