龍泉編碼	磧砂藏实体经名	磧砂编码	经文名称	卷序号	实际卷数	起始册号	起始页码	终止册号	终止页码	
LQ0246	大般若波羅蜜多經	QS0001	大般若波羅蜜多經	600	600	1	642	12	653	
LQ0247	放光摩訶般若波羅蜜經	QS0002	放光摩訶般若波羅蜜經	30	30	13	342	13	352	
LQ0249	摩訶般若波羅蜜經	QS0003	摩訶般若波羅蜜經	30	30	13	84	14	97	
LQ0248	佛說光讚般若波羅蜜經	QS0004	佛說光讚般若波羅蜜經	10	10	14	338	14	351	
LQ0252	摩訶般若波羅蜜鈔經	QS0005	摩訶般若波羅蜜鈔經	5	5	14	407	14	420	
LQ0250	道行摩訶般若波羅蜜經	QS0006	道行摩訶般若波羅蜜經	10	10	14	536	14	546	
LQ0253	小品般若波羅蜜經	QS0007	小品般若波羅蜜經	10	10	14	651	14	667	
LQ0256	勝天王般若波羅蜜經	QS0008	勝天王般若波羅蜜經	7	7	15	83	15	95	
LQ0251	大明度無極經	QS0009	大明度無極經	6	6	15	155	15	168	
LQ0259	佛說濡首菩薩無上清淨分衛經	QS0010	佛說濡首菩薩無上清淨分衛經	2	2	15	180	15	190	
LQ0260	金剛般若波羅蜜經	QS0011	金剛般若波羅蜜經	1	1	15	191	15	199	
LQ0261	金剛般若波羅蜜經	QS0012	金剛般若波羅蜜經	1	1	15	199	15	210	
LQ0262	金剛般若波羅蜜經	QS0013	金剛般若波羅蜜經	1	1	15	210	15	221	
LQ0263	金剛能斷般若波羅蜜經	QS0014	金剛能斷般若波羅蜜經	1	1	15	221	15	233	
LQ0264	能斷金剛般若波羅蜜多經	QS0015	能斷金剛般若波羅蜜多經	1	1	15	233	15	242	
LQ0265	能斷金剛般若波羅蜜多經	QS0016	能斷金剛般若波羅蜜多經	1	1	15	242	15	256	
LQ0266	實相般若波羅蜜經	QS0017	實相般若波羅蜜經	1	1	15	257	15	262	
LQ0271	佛說仁王護國般若波羅蜜經	QS0018	佛說仁王護國般若波羅蜜經	2	2	15	274	15	283	
LQ0278	摩訶般若波羅蜜大明呪經	QS0019	摩訶般若波羅蜜大明呪經	1	1	15	284			
LQ0277	般若波羅蜜多心經	QS0020	般若波羅蜜多心經	1	1	15	285			
LQ0257	文殊師利所說摩訶般若波羅蜜經	QS0021	文殊師利所說摩訶般若波羅蜜經	1	1	15	286	15	301	
LQ0258	文殊師利所說般若波羅蜜經	QS0022	文殊師利所說般若波羅蜜經	1	1	15	301	15	316	
LQ0342	大寶積經	QS0023	大寶積經	120	120	15	546	17	561	
LQ0343	大方廣三戒經	QS0024	大方廣三戒經	3	3	17	584	17	599	
