龍泉編碼	永樂北藏編碼	实体经名	总卷数	实际卷数	起始册码	终止册码
LQ0246	YLBZ0001	大般若波羅蜜多經	600	600	1	15
LQ0247	YLBZ0002	放光般若波羅蜜經	30	30	16	16
LQ0249	YLBZ0003	摩诃般若波羅蜜經	30	30	16	17
LQ0248	YLBZ0004	光讚般若波羅蜜經	10	10	17	17
LQ0250	YLBZ0005	道行般若波羅蜜經	10	10	17	18
LQ0253	YLBZ0006	小品般若波羅蜜經	10	10	18	18
LQ0252	YLBZ0007	摩訶般若波羅蜜鈔經	5	5	18	18
LQ0251	YLBZ0008	大明度無極經	6	6	18	18
LQ0256	YLBZ0009	勝天王般若波羅蜜經	7	7	18	18
LQ0260	YLBZ0010	金剛般若波羅蜜經	1	1	18	18
LQ0261	YLBZ0011	金剛般若波羅蜜經	1	1	18	18
LQ0262	YLBZ0012	金剛般若波羅蜜經	1	1	18	18
LQ0264	YLBZ0013	能斷金剛般若波羅蜜多經	1	1	18	18
LQ0265	YLBZ0014	能斷金剛般若波羅蜜經	1	1	18	18
LQ0263	YLBZ0015	金剛能斷般若波羅蜜經	1	1	18	18
LQ0259	YLBZ0016	佛說濡首菩薩無上清凈分衛經	2	2	18	18
LQ0271	YLBZ0017	仁王護國般若波羅蜜經	2	2	18	18
LQ0266	YLBZ0018	實相般若波羅蜜經	1	1	18	18
LQ0278	YLBZ0019	摩訶般若波羅蜜大明咒經	1	1	18	18
LQ0277	YLBZ0020	般若波羅蜜多心經	1	1	18	18
LQ0257	YLBZ0021	文殊師利所說摩訶般若波羅蜜經	1	1	18	18
LQ0258	YLBZ0022	文殊師利所說般若波羅蜜經	1	1	18	18
LQ0342	YLBZ0023	大寳積經	120	120	18	21
LQ0343	YLBZ0024	大方廣三戒經	3	3	22	22
LQ0391	YLBZ0025	佛說無量清靜平等覺經	3	3	22	22
LQ0392	YLBZ0026	佛說阿彌陀經	2	2	22	22
LQ0390	YLBZ0027	佛說無量壽經	2	2	22	22
LQ0345	YLBZ0028	佛說阿閦佛國經	3	3	22	22
LQ0346	YLBZ0029	佛說大乘十法經	1	1	22	22
LQ0347	YLBZ0030	佛說普門品經	1	1	22	22
LQ0350	YLBZ0031	文殊師利佛土嚴凈經	2	2	22	22
LQ0349	YLBZ0032	佛說胞胎經	1	1	22	22
LQ0355	YLBZ0033	佛說法鏡經	2	2	22	22
LQ0354	YLBZ0034	郁迦羅越問菩薩行經	1	1	22	22
LQ0356	YLBZ0035	幻士仁賢經	1	1	22	22
LQ0357	YLBZ0036	佛說決定毗尼經	1	1	22	22
LQ0359	YLBZ0037	發覺淨心經	2	2	22	22
LQ0364	YLBZ0038	佛說優填王經	1	1	22	22
	YLBZ0039	佛說須摩提經	1	1	22	22
LQ0366	YLBZ0040	佛說須摩提菩薩經	1	1	22	22
LQ0368	YLBZ0041	佛說離垢施女經	1	1	22	22
LQ0367	YLBZ0042	佛說阿阇世王女阿術達菩薩經	1	1	22	22
LQ0360	YLBZ0043	佛說須賴經	1	1	22	22
LQ0361	YLBZ0044	佛說須賴經	1	1	22	22
LQ0369	YLBZ0045	得無垢女經	1	1	22	22
LQ0370	YLBZ0046	文殊師利所說不思議佛境界經	2	2	22	22
LQ0372	YLBZ0047	佛說如幻三昧經	3	3	22	22
LQ0371	YLBZ0048	善住意天子所問經	3	3	22	22
LQ0373	YLBZ0049	太子刷護經	1	1	23	23
LQ0374	YLBZ0050	太子和休經	1	1	23	23
LQ0385	YLBZ0051	入法界體性經	1	1	23	23
LQ0375	YLBZ0052	慧上菩薩問大善權經	2	2	23	23
LQ0377	YLBZ0053	大乘顯識經	2	2	23	23
LQ0378	YLBZ0054	佛說大乘方等要慧經	1	1	23	23
LQ0379	YLBZ0055	彌勒菩薩所問本願經	1	1	23	23
LQ0389	YLBZ0056	度一切諸佛境界智嚴經	1	1	23	23
LQ0380	YLBZ0057	佛说遺日摩尼寳經	1	1	23	23
LQ0381	YLBZ0058	佛說摩訶衍寳嚴經	1	1	23	23
LQ0383	YLBZ0059	勝鬘師子吼一乘大方便方廣經	1	1	23	23
LQ0384	YLBZ0060	毗耶娑問經	2	2	23	23
LQ0433	YLBZ0061	大方等大集經	30	30	24	24
LQ0434	YLBZ0062	大乘大方等日藏經	10	10	24	24
LQ0435	YLBZ0063	大方等大集月藏經	10	10	24	24
LQ0451	YLBZ0064	大乘大集地藏十輪經	10	10	25	25
LQ0452	YLBZ0065	佛說大方廣十輪經	8	8	25	25
LQ0436	YLBZ0066	大集須彌藏經	2	2	25	25
LQ0449	YLBZ0067	虛空孕菩薩經	2	2	25	25
LQ0446	YLBZ0068	虛空藏菩薩經	1	1	25	25
LQ0447	YLBZ0069	虛空藏菩薩神咒經	1	1	25	25
LQ0455	YLBZ0070	佛說菩薩念佛三昧經	6	6	25	25
LQ0456	YLBZ0071	佛說大方等大集菩薩念佛三昧經	10	10	25	25
LQ0458	YLBZ0072	般舟三昧經	3	3	25	25
LQ0438	YLBZ0073	阿差末菩薩經	7	7	25	25
LQ0457	YLBZ0074	大方等大集賢護經	5	5	26	26
LQ0460	YLBZ0075	拔陂菩薩經	1	1	26	26
LQ0437	YLBZ0076	無盡意菩薩經	4	4	26	26
LQ0463	YLBZ0077	大集譬喻王經	2	2	26	26
LQ0440	YLBZ0078	大哀經	8	8	26	26
LQ0441	YLBZ0079	寳女所問經	4	4	26	26
LQ0443	YLBZ0080	無言童子經	2	2	26	26
LQ0461	YLBZ0081	自在王菩薩經	2	2	26	26
LQ0462	YLBZ0082	奮訊王問經	2	2	26	26
LQ0445	YLBZ0083	寳星陀羅尼經	8	8	26	26
LQ0335	YLBZ0084	度諸佛境界智光嚴經	1	1	26	26
LQ1163	YLBZ0085	大乘金剛髻珠菩薩修行分經	1	1	26	26
LQ0310	YLBZ0086	大方廣佛華嚴經	60	60	27	28
LQ0309	YLBZ0087	大方廣佛華嚴經	80	80	28	30
LQ0324	YLBZ0088	大方廣佛華嚴經	40	40	30	31
LQ0337	YLBZ0089	信力入印法門經	5	5	31	31
LQ0336	YLBZ0090	佛華嚴入如來德智不思議境界經	1	1	31	31
LQ0322	YLBZ0091	佛說如來興顯經	4	4	31	31
LQ0334	YLBZ0092	大方廣入如來智德不思議經	1	1	31	31
LQ0338	YLBZ0093	大方廣佛華嚴經修慈分	1	1	31	31
LQ0320	YLBZ0094	顯無邊佛土功德經	1	1	31	31
LQ0333	YLBZ0095	大方廣佛華嚴經不思議佛境界分	1	1	31	31
LQ0332	YLBZ0096	大方廣如來不思議經境界經	1	1	31	31
LQ0330	YLBZ0097	大方廣普賢所說經	1	1	31	31
LQ0339	YLBZ0098	莊嚴菩提心經	1	1	31	31
LQ0312	YLBZ0099	佛說菩薩本業經	1	1	31	31
LQ0327	YLBZ0100	大方廣佛華嚴經續入法界品	1	1	31	31
LQ0311	YLBZ0101	佛說兜沙經	1	1	31	31
LQ0340	YLBZ0102	大方廣菩薩十地經	1	1	31	31
LQ0323	YLBZ0103	度世品經	6	6	32	32
LQ0317	YLBZ0104	十住經	6	6	32	32
LQ0326	YLBZ0105	佛說羅摩伽經	4	4	32	32
LQ0313	YLBZ0106	諸菩薩求佛本業經與菩薩本業經同本異出	1	1	32	32
LQ0314	YLBZ0107	菩薩十住行道品經	1	1	32	32
LQ0315	YLBZ0108	佛說菩薩十住經	1	1	32	32
LQ0316	YLBZ0109	漸備一切智德經	5	5	32	32
LQ0319	YLBZ0110	等目菩薩所問三昧經一名普賢菩薩定義經	3	3	32	32
LQ0629	YLBZ0111	文殊師利問菩薩署經	1	1	32	32
LQ0409	YLBZ0112	大般涅槃經	40	40	32	33
LQ0410	YLBZ0113	大般涅槃經	36	36	33	34
LQ0412	YLBZ0114	大般涅槃經後分	2	2	34	34
LQ0413	YLBZ0115	佛說方等般泥洹經	2	2	34	34
LQ0415	YLBZ0116	大悲經	5	5	35	35
LQ0007	YLBZ0117	大般涅槃經	3	3	35	35
LQ0006	YLBZ0118	佛說方等般泥洹經	2	2	35	35
LQ0411	YLBZ0119	大般泥洹經	6	6	35	35
LQ0414	YLBZ0120	四童子三昧經	3	3	35	35
LQ0424	YLBZ0121	佛垂般涅槃略說教誡經	1	1	35	35
LQ0425	YLBZ0122	佛涅槃記法住經	1	1	35	35
LQ0427	YLBZ0123	佛滅度後棺歛葬送經	1	1	35	35
LQ0426	YLBZ0124	般涅洹後灌臘經	1	1	35	35
LQ0757	YLBZ0125	金光明最勝王經	10	10	35	35
LQ0758	YLBZ0126	金光明經	4	4	35	35
LQ0417	YLBZ0127	等集衆德三昧經	3	3	35	35
LQ0416	YLBZ0128	集一切福德三昧經	3	3	36	36
	YLBZ0129	三藏聖教	9	9	36	36
	YLBZ0130	入定不入定印經	1	1	36	36
LQ0746	YLBZ0131	不必定入定入印經	1	1	36	36
LQ0307	YLBZ0132	無量義經	1	1	36	36
LQ0292	YLBZ0133	妙法蓮華經	7	7	36	36
LQ0300	YLBZ0134	法華三昧經	1	1	36	36
LQ0295	YLBZ0135	妙薩曇芬陀利經	1	1	36	36
LQ0296	YLBZ0136	妙法蓮華經觀世音普門品经	1	1	36	36
LQ0293	YLBZ0137	正法華經	10	10	36	36
LQ0294	YLBZ0138	妙法莲华经(添品）	8	8	36	37
LQ0802	YLBZ0139	分别缘起初勝法門經	2	2	37	37
LQ0803	YLBZ0140	佛說緣生初勝分法本經	2	2	37	37
LQ0217	YLBZ0141	悲華經	10	10	37	37
LQ0212	YLBZ0142	六度集經	8	8	37	37
LQ0650	YLBZ0143	大乘頂王經	1	1	37	37
LQ0649	YLBZ0144	大方等頂王經	1	1	37	37
LQ0645	YLBZ0145	維摩詰所說經	3	3	37	37
LQ0646	YLBZ0146	維摩詰經	3	3	37	37
LQ0834	YLBZ0147	道神足無極變化經	4	4	38	38
LQ0647	YLBZ0148	說無垢稱經	6	6	38	38
LQ0299	YLBZ0149	阿惟越致遮經	4	4	38	38
LQ0659	YLBZ0150	佛說寶雨經	10	10	38	38
LQ0661	YLBZ0151	佛說寶雲經	7	7	38	38
LQ0833	YLBZ0152	佛昇忉利天為母說法經	3	3	38	38
LQ0773-1	YLBZ0153	相續解脫地波羅蜜了義經	1	1	38	38
LQ0773-2	YLBZ0154	相續解脫如來所作隨順處了義經	1	1	38	38
LQ0772	YLBZ0155	佛說解節經	1	1	38	38
LQ0298	YLBZ0156	不退轉法輪經	4	4	38	38
LQ0297	YLBZ0157	廣博嚴淨不退轉法輪經	4	4	39	39
