龍泉編碼	趙城編碼	實體經名	卷序號	實際卷數	起始冊碼	終止冊碼	
LQ0246	ZC0001	大般若波羅蜜多經	600	118	1	4	
LQ0247	ZC0002	放光般若經	20	3	4	4	
LQ0249	ZC0003	摩訶般若波羅蜜經	27	7	4	4	
LQ0248	ZC0004	光讚經	10	2	4	4	
LQ0252	ZC0005	摩訶般若鈔經	5	0	4	4	
	ZC0006	摩訶般若波羅蜜經	27	1	5	5	
LQ0250	ZC0007	道行般若經	10	2	5	5	
LQ0253	ZC0008	小品般若波羅蜜經	10	5	5	5	
LQ0256	ZC0009	勝天王般若波羅蜜經	7	3	5	5	
LQ0251	ZC0010	大明度經	6	3	5	5	
LQ0257	ZC0011	文殊師利所説摩訶般若波羅蜜經	2	1	5	5	
LQ0258	ZC0012	文殊師利所説般若波羅蜜經	1	0	5	5	
LQ0259	ZC0013	佛説濡首菩薩無上清净分衛經	1	0	5	5	
LQ0260	ZC0014	金剛般若波羅蜜經	1	0	5	5	
LQ0261	ZC0015	金剛般若波羅蜜經	1	1	5	5	
LQ0262	ZC0016	金剛般若波羅蜜經	1	1	5	5	
LQ0264	ZC0017	能斷金剛般若波羅蜜經	2	1	5	5	
LQ0271	ZC0018	佛説仁王般若波羅蜜經	2	1	5	5	
LQ0342	ZC0019	摩訶般若波羅蜜大明咒經	1	0	5	5	
LQ0266	ZC0020	實相般若波羅蜜經	1	0	5	5	
LQ0277	ZC0021	般若波羅蜜多心經	1	0	5	5	
LQ0279	ZC0022	大寳積經	120	43	5	6	
LQ0343	ZC0023	大方廣三戒經	3	1	6	6	
LQ0391	ZC0024	佛說無量清净平等覺經	4	2	6	6	
LQ0392	ZC0025	佛說阿彌陁经	2	1	6	6	
LQ0390	ZC0026	佛說無量壽經	2	0	6	6	
LQ0345	ZC0027	阿閦佛國經	2	0	6	6	
LQ0346	ZC0028	佛說大乘十法經	1	0	6	6	
LQ0347	ZC0029	佛說普門品經	1	1	6	6	
LQ0349	ZC0030	佛說胞胎經	1	1	6	6	
LQ0350	ZC0031	文殊師利佛土嚴净經	2	0	6	6	
LQ0355	ZC0032	法鏡經	1	1	6	6	
LQ0354	ZC0033	郁迦羅越問菩薩行經	1	1	7	7	
LQ0356	ZC0034	佛說幻士仁賢經	1	1	7	7	
LQ0357	ZC0035	佛說決定毗尼經	1	1	7	7	
LQ0359	ZC0036	發覺凈心經	2	0	7	7	
LQ0364	ZC0037	佛說優填王經	1	0	7	7	
没匹配到需要人工	ZC0038	須摩提經	1	1	7	7	
LQ0366	ZC0039	佛說須摩提菩薩經	1	1	7	7	
LQ0367	ZC0040	佛说阿闍貰王女阿術達菩薩經	1	1	7	7	
LQ0368	ZC0041	佛說離垢施女經	1	1	7	7	
