龍泉編碼	实体经名	中华藏编号	卷序号	实际卷数	起始册码	终止册码	
LQ0246	大般若波羅蜜多經	ZH0001	600	595	1	6	
LQ0247	放光般若經	ZH0002	20	20	7	7	
LQ0249	摩訶般若波羅蜜經	ZH0003	27	27	7	7	
LQ0248	光贊經	ZH0004	10	10	7	7	
LQ0252	摩訶般若鈔經	ZH0005	5	5	7	7	
LQ0250	道行般若經	ZH0006	10	10	7	7	
LQ0253	小品般若波羅蜜經	ZH0007	10	10	7	7	
LQ0256	勝天王般若波羅蜜經	ZH0008	7	7	8	8	
LQ0251	大明度經	ZH0009	6	6	8	8	
LQ0257	文殊師利所說摩訶般若波羅蜜經	ZH0010	2	2	8	8	
LQ0258	文殊師利所說般若波羅蜜經	ZH0011	1	1	8	8	
LQ0259	佛說濡首菩薩無上清凈分衛經	ZH0012	2	2	8	8	
LQ0260	金剛般若波羅蜜經	ZH0013	1	1	8	8	
LQ0261	金剛般若波羅蜜經	ZH0014	1	1	8	8	
LQ0262	金剛般若波羅蜜經	ZH0016	1	1	8	8	
LQ0263	金剛能斷般若波羅蜜經	ZH0017	1	1	8	8	
LQ0264	能斷金剛般若波羅蜜多經	ZH0018	1	1	8	8	
LQ0265	佛说能斷金剛般若波羅蜜多經	ZH0019	2	2	8	8	
LQ0271	佛說仁王般若波羅蜜經	ZH0020	2	2	8	8	
LQ0278	摩訶般若波羅蜜大明咒經	ZH0021	1	1	8	8	
LQ0266	實相般若波羅蜜經	ZH0022	1	1	8	8	
LQ0277	般若波羅蜜多心經	ZH0023	2	1	8	8	
LQ0342	大寶積經	ZH0024	120	120	8	9	
LQ0343	大方廣三戒經	ZH0025	3	3	9	9	
LQ0391	佛说無量清凈平等覺經	ZH0026	4	4	9	9	
LQ0390	佛說無量壽經	ZH0028	2	2	9	9	
LQ0345	阿閦佛國經	ZH0029	2	2	9	9	
LQ0346	佛說大乘十法經	ZH0030	1	1	9	9	
LQ0347	佛說普門品經	ZH0031	1	1	9	9	
LQ0349	佛說胞胎經 	ZH0033	1	1	9	9	
LQ0350	文殊師利佛土嚴淨經 	ZH0034	2	2	9	9	
LQ0355	法鏡經 	ZH0035	1	1	9	9	
LQ0354	郁迦羅越問菩薩行經 	ZH0036	1	1	9	9	
LQ0356	佛說幻士仁賢經 	ZH0037	1	1	9	9	
LQ0357	佛說決定毗尼經 	ZH0038	1	1	9	9	
LQ0359	發覺凈心經	ZH0039	2	2	9	9	
LQ0364	佛說優填王經	ZH0040	1	1	9	9	
LQ0366	佛說須摩提菩薩經	ZH0042	1	1	9	9	
LQ0367	佛說阿闍貰王女阿術達菩薩經	ZH0044	1	1	9	9	
LQ0368	佛說離垢施女經	ZH0045	1	1	9	9	
LQ0369	得無垢女經	ZH0046	1	1	9	9	
LQ0370	文殊師利所說不思議佛境界經	ZH0047	2	2	9	9	
LQ0372	佛說如幻三昧經 	ZH0048	2	2	9	9	
LQ0371	聖善住意天子所問經 	ZH0049	3	3	9	9	
LQ0373	佛說太子刷護經 	ZH0050	1	1	9	9	
LQ0374	佛說太子和休經 	ZH0051	1	1	9	9	
LQ0375	慧上菩薩問大善權經 	ZH0052	2	2	9	9	
LQ0377	大乘顯識經 	ZH0053	2	2	9	9	
LQ0378	佛說大乘方等要慧經 	ZH0054	1	1	9	9	
LQ0379	彌勒菩薩所問本願經 	ZH0055	1	1	9	9	
LQ0380	佛說遺日摩尼寶經 	ZH0056	1	1	9	9	
LQ0381	佛說摩訶衍寶嚴經 	ZH0057	1	1	9	9	
LQ0383	勝鬘獅子吼一乘大方便方廣經 	ZH0058	1	1	9	9	
LQ0384	毗耶娑問經 	ZH0059	2	2	9	9	
LQ0433	大方等大集經	ZH0060	60	60	10	10	
LQ0434	大乘大方等日藏經	ZH0061	10	10	10	10	
LQ0435	大方等大集月藏經	ZH0062	10	10	10	10	
LQ0451	大乘大集地藏十輪經 	ZH0063	10	10	11	11	
LQ0452	大方廣十輪經 	ZH0064	8	8	11	11	
LQ0455	菩薩念佛三昧經 	ZH0066	5	5	11	11	
LQ0449	虛空孕菩薩經 	ZH0067	2	2	11	11	
LQ0447	虛空藏菩薩神呪經 	ZH0069	1	1	11	11	
LQ0450	觀虛空藏菩薩經 	ZH0071	1	1	11	11	
LQ0456	大方等大集經菩薩念佛三昧分 	ZH0072	10	10	11	11	
LQ0457	大方等大集經賢護分 	ZH0073	5	5	11	11	
LQ0458	般舟三昧經 	ZH0074	3	3	11	11	
LQ0459	般舟三昧經(別本) 	ZH0075	1	1	11	11	
LQ0460	拔陂菩薩經 	ZH0076	1	1	11	11	
LQ0438	阿差末菩薩經 	ZH0077	7	7	11	11	
LQ0437	無盡意菩薩經 	ZH0078	6	6	11	11	
LQ0440	大哀經 	ZH0079	8	8	11	11	
LQ0463	大集譬喻王經 	ZH0080	2	2	11	11	
LQ0441	寶女所問經 	ZH0081	4	4	11	11	
LQ0461	自在王菩薩經 	ZH0082	2	2	11	11	
LQ0462	奮迅王問經 	ZH0083	2	2	11	11	
LQ0443	無言童子經 	ZH0084	2	2	11	11	
LQ0445	寶星陀羅尼經 	ZH0085	10	10	11	11	
LQ0310	大方廣佛華嚴經	ZH0086	50	50	12	12	
LQ0309	大方廣佛華嚴經	ZH0087	80	80	12	13	
LQ0337	信力入印法門經	ZH0088	5	5	13	13	
LQ0336	佛華嚴入如來德智不思議境界經	ZH0089	2	2	13	13	
LQ1163	大乘金剛髻珠菩薩修行分	ZH0090	1	1	13	13	
