# sid	tripitaka	name	lqsutra	total_reels	remark
GL000010	GL	大般若波羅蜜多經	LQ002460	600	
GL000020	GL	放光般若波羅蜜經	LQ002470	20	
GL000030	GL	摩訶般若波羅蜜經	LQ002490	27	
GL000040	GL	光讚經	LQ002480	10	
GL000050	GL	摩訶般若鈔經	LQ002520	5	
GL000060	GL	道行般若經	LQ002500	10	
GL000070	GL	小品般若波羅蜜經	LQ002530	10	
GL000080	GL	勝天王般若波羅蜜經	LQ002560	7	
GL000090	GL	大明度經	LQ002510	6	
GL000100	GL	文殊師利所說摩訶般若波羅蜜經	LQ002570	2	
GL000110	GL	文殊師利所說般若波羅蜜經	LQ002580	1	
GL000120	GL	佛說濡首菩薩無上淸淨分衛經	LQ002590	2	
GL000130	GL	金剛般若波羅蜜經	LQ002600	1	
GL000140	GL	金剛般若波羅蜜經	LQ002610	1	
GL000150	GL	金剛般若波羅蜜經	LQ002620	1	
GL000160	GL	能斷金剛般若波羅蜜多經	LQ002640	1	
GL000170	GL	佛說能斷金剛般若波羅蜜多經	LQ002650	1	
GL000180	GL	實相般若波羅蜜經	LQ002660	1	
GL000190	GL	佛說仁王般若波羅蜜經	LQ002710	2	
GL000200	GL	般若波羅蜜多心經	LQ002770	1	
GL000210	GL	摩訶般若波羅蜜大明呪經	LQ002780	1	
GL000220	GL	大寶積經	LQ003420	120	
GL000230	GL	大方廣三戒經	LQ003430	3	
GL000240	GL	佛說無量淸淨平等覺經	LQ003910	4	
GL000250	GL	佛說阿彌陀三耶三佛薩樓佛檀過度人道經		2	行26:存疑C,龙泉编号为空
GL000260	GL	佛說無量壽經	LQ003900	2	
GL000270	GL	阿閦佛國經	LQ003450	2	
GL000280	GL	佛說大乘十法經	LQ003460	1	
GL000290	GL	佛說普門品經	LQ003470	1	
GL000300	GL	佛說胞胎經	LQ003490	1	
GL000310	GL	文殊師利佛土嚴淨經	LQ003500	2	
GL000320	GL	法鏡經	LQ003550	1	
GL000330	GL	郁迦羅越問菩薩行經	LQ003540	1	
GL000340	GL	佛說幻士仁賢經	LQ003560	1	
GL000350	GL	佛說決定毗尼經	LQ003570	1	
GL000360	GL	須摩提經		1	行37:存疑C,龙泉编号为空(龙泉经无对应版本)
GL000370	GL	發覺淨心經	LQ003590	2	
GL000380	GL	佛說優填王經	LQ003640	1	
GL000390	GL	佛說須摩提菩薩經	LQ003660	1	
GL000400	GL	佛說阿闍貰王女阿術達菩薩經	LQ003670	1	
GL000410	GL	佛說離垢施女經	LQ003680	1	
GL000420	GL	得無垢女經	LQ003690	1	
GL000430	GL	文殊師利所說不思議佛境界經	LQ003700	2	
GL000440	GL	佛說如幻三昧經	LQ003720	2	
GL000450	GL	聖善住意天子所問經	LQ003710	3	
GL000460	GL	佛說太子刷護經	LQ003730	1	
GL000470	GL	佛說太子和休經	LQ003740	1	
GL000480	GL	慧上菩薩問大善權經	LQ003750	2	
GL000490	GL	大乘顯識經	LQ003770	2	
GL000500	GL	佛說大乘方等要慧經	LQ003780	1	
GL000510	GL	彌勒菩薩所問本願經	LQ003790	1	
GL000520	GL	佛說遺日摩尼寶經	LQ003800	1	
GL000530	GL	佛說摩訶衍寶嚴經	LQ003810	1	
GL000540	GL	勝鬘師子吼一乘大方便方廣經	LQ003830	1	
GL000550	GL	毗耶娑問經	LQ003840	2	
GL000560	GL	大方等大集經	LQ004320	60	
GL000570	GL	大乘大集地藏十輪經	LQ004510	10	
GL000580	GL	大方廣十輪經	LQ004520	8	
GL000590	GL	大乘大集經		2	行60:存疑C,龙泉编号为空
GL000600	GL	菩薩念佛三昧經	LQ004550	5	
GL000610	GL	虛空孕菩薩經	LQ004490	2	
GL000620	GL	虛空藏菩薩經	LQ004460	1	
GL000630	GL	虛空藏菩薩神呪經	LQ004470	1	
GL000640	GL	觀虛空藏菩薩經	LQ004500	1	
GL000650	GL	大方等大集經菩薩念佛三昧分	LQ004560	10	
GL000660	GL	大方等大集經賢護分	LQ004570	5	
GL000670	GL	般舟三昧經	LQ004580	3	
GL000680	GL	佛說般舟三昧經	LQ004590	1	
GL000690	GL	拔陂菩薩經	LQ004600	1	
GL000700	GL	阿差末菩薩經	LQ004380	7	
GL000710	GL	無盡意菩薩經	LQ004370	6	
